date,gross_ls,net_ls,turnover
2021-01-01,-0.02181552932873381,-0.022115529328733813,1.0
2021-01-04,0.0187549695365456,0.0181549695365456,2.0
2021-01-05,0.00996296451864113,0.00936296451864113,2.0
2021-01-06,-0.0200624388833618,-0.020512438883361798,1.5
2021-01-07,-0.00899364799753121,-0.00959364799753121,2.0
2021-01-08,0.03311495235669548,0.03251495235669548,2.0
2021-01-11,-0.01649535005294485,-0.01709535005294485,2.0
2021-01-12,-0.017945682053626053,-0.01839568205362605,1.5
2021-01-13,-0.00769434234807635,-0.00814434234807635,1.5
2021-01-14,-0.00937513403706805,-0.009825134037068051,1.5
2021-01-15,0.018078781257898878,0.017928781257898877,0.5
2021-01-18,0.004807176067142163,0.004357176067142163,1.5
2021-01-19,0.00869476332018695,0.00839476332018695,1.0
2021-01-20,0.023094291031961048,0.022794291031961046,1.0
2021-01-21,-0.022843278465358698,-0.023443278465358697,2.0
2021-01-22,1.2437365928250066e-05,-0.0004375626340717499,1.5
2021-01-25,0.00946321616665925,0.00901321616665925,1.5
2021-01-26,-0.012198699617957,-0.012798699617957,2.0
2021-01-27,0.0027780177349772503,0.0023280177349772504,1.5
2021-01-28,-0.0043339360099968,-0.0046339360099968,1.0
2021-01-29,-0.011649306947478223,-0.012249306947478222,2.0
2021-02-01,-0.01655181737330854,-0.01715181737330854,2.0
2021-02-02,-0.026399975385663986,-0.026849975385663985,1.5
2021-02-03,0.0011545180493820837,0.0007045180493820837,1.5
2021-02-04,0.013232208752982848,0.012932208752982849,1.0
2021-02-05,-0.013804968730390551,-0.01440496873039055,2.0
2021-02-08,-0.006481093054019501,-0.006781093054019501,1.0
2021-02-09,-0.0012834112886692898,-0.0017334112886692897,1.5
2021-02-10,0.0119325593682016,0.0113325593682016,2.0
2021-02-11,0.013766577885985343,0.013166577885985343,2.0
2021-02-12,-0.019344259149643148,-0.019794259149643147,1.5
2021-02-15,0.0029157122582697988,0.002465712258269799,1.5
2021-02-16,0.01565059700952311,0.01520059700952311,1.5
2021-02-17,-0.0012148655424054364,-0.0016648655424054363,1.5
2021-02-18,0.012490173617904152,0.012340173617904151,0.5
2021-02-19,-0.01614893884828295,-0.016598938848282948,1.5
2021-02-22,0.014213357175385227,0.013613357175385227,2.0
2021-02-23,-0.0088856637632359,-0.0093356637632359,1.5
2021-02-24,0.008176602586510102,0.007876602586510103,1.0
2021-02-25,0.030358831819587102,0.029908831819587103,1.5
2021-02-26,0.01878303013599395,0.018333030135993952,1.5
2021-03-01,-0.00505656494482005,-0.00550656494482005,1.5
2021-03-02,0.0275169860087974,0.0270669860087974,1.5
2021-03-03,0.0002922974080516519,-7.702591948348088e-06,1.0
2021-03-04,0.0023158277362437495,0.0020158277362437495,1.0
2021-03-05,-0.017531030033723402,-0.017831030033723404,1.0
2021-03-08,-0.016176532388271513,-0.01662653238827151,1.5
2021-03-09,-0.017025530087513403,-0.017625530087513403,2.0
2021-03-10,0.01204119971474885,0.01174119971474885,1.0
2021-03-11,-0.030009120496537603,-0.030609120496537603,2.0
2021-03-12,0.0184421413513154,0.0179921413513154,1.5
2021-03-15,-0.00937791466736135,-0.00952791466736135,0.5
2021-03-16,-0.0020452888998816476,-0.0026452888998816475,2.0
2021-03-17,0.0015036916072075001,0.0010536916072075003,1.5
2021-03-18,0.009017034771121,0.008717034771121,1.0
2021-03-19,-0.0057480518925534,-0.0061980518925534,1.5
2021-03-22,0.01888408185453085,0.018584081854530848,1.0
